symbol,shares,pricePosition,priceTrading,totalBasis,sharesBought,priceBought,sharesSold,priceSold,dividends,sharesDividend
KAUFX,0.0,$0.00,$0.00,$136866.41,0.0,$0.00,-29058.7,$-4.71,$0.00,29058.7
KKR,0.0,$0.00,$0.00,$157.64,88.0,$-51.21,-88.0,$-53.00,$0.00,0.0
KMI,0.0,$0.00,$0.00,$116.08,273.0,$-17.74,-273.0,$-17.84,$77.12,0.0
KO,0.0,$0.00,$0.00,$46.59,60.0,$-61.94,-60.0,$-62.71,$0.00,0.0
KR,0.0,$0.00,$0.00,$90.92,200.0,$-47.16,-200.0,$-47.25,$71.00,0.0
LADR,0.0,$0.00,$0.00,$4187.47,2100.0,$-9.90,-2100.0,$-11.33,$977.50,0.0
LAND,0.0,$0.00,$0.00,$-40.36,100.0,$-13.61,-100.0,$-13.15,$5.72,0.0
LEG,0.0,$0.00,$0.00,$6.47,100.0,$-31.27,-100.0,$-31.33,$0.00,0.0
LGGNY,0.0,$0.00,$0.00,$753.89,850.0,$-15.41,-850.0,$-15.58,$609.01,0.0
LMB,0.0,$0.00,$0.00,$6694.38,750.0,$-25.26,-750.0,$-34.19,$0.00,0.0
LMND,0.0,$0.00,$0.00,$30.99,20.0,$-12.57,-20.0,$-14.12,$0.00,0.0
LNC,0.0,$0.00,$0.00,$1872.77,1000.0,$-27.23,-1000.0,$-27.50,$360.00,0.0
LTC,0.0,$0.00,$0.00,$26.27,142.0,$-34.43,-142.0,$-34.45,$23.18,0.0
MAA,0.0,$0.00,$0.00,$-503.31,76.0,$-142.42,-76.0,$-134.42,$105.00,0.0
MDV,0.0,$0.00,$0.00,$499.30,671.0,$-12.00,-671.0,$-12.61,$90.27,0.0
META,0.0,$0.00,$0.00,$92.70,25.0,$-212.50,-25.0,$-216.21,$0.00,0.0
MFA,0.0,$0.00,$0.00,$90.72,250.0,$-9.82,-250.0,$-9.90,$70.00,0.0
MFC,0.0,$0.00,$0.00,$4180.34,1007.0,$-18.86,-1007.0,$-22.35,$557.26,0.0
MGK,0.0,$0.00,$0.00,$42.71,3.0,$-269.04,-3.0,$-283.28,$0.00,0.0
MO,0.0,$0.00,$0.00,$1596.64,2400.0,$-44.60,-2400.0,$-44.32,$1499.00,0.0
MOAT,0.0,$0.00,$0.00,$1288.63,503.0,$-77.56,-503.0,$-79.90,$145.70,0.0
MOD,0.0,$0.00,$0.00,$1101.08,200.0,$-97.27,-200.0,$-90.00,$0.00,0.0
MPC,0.0,$0.00,$0.00,$1367.29,107.7,$-117.76,-107.7,$-130.32,$15.75,0.0
MPLX,0.0,$0.00,$0.00,$757.84,400.0,$-33.61,-400.0,$-35.50,$0.00,0.0
MPW,0.0,$0.00,$0.00,$185.49,1250.0,$-8.07,-1250.0,$-8.22,$0.00,0.0
MRK,0.0,$0.00,$0.00,$351.04,200.0,$-128.27,-200.0,$-127.00,$154.00,0.0
MSFT,-0.0,$0.00,$0.00,$75.31,7.7,$-302.00,-7.7,$-311.80,$0.00,0.0
MTDR,0.0,$0.00,$0.00,$557.83,400.0,$-67.36,-400.0,$-62.50,$40.00,0.0
NAT,0.0,$0.00,$0.00,$1434.93,2000.0,$-3.68,-2000.0,$-4.32,$150.00,0.0
NEE,0.0,$0.00,$0.00,$1382.57,600.0,$-67.49,-600.0,$-68.91,$0.00,0.0
NEP,0.0,$0.00,$0.00,$109.17,350.0,$-43.11,-350.0,$-42.68,$163.62,0.0
NET,0.0,$0.00,$0.00,$280.83,61.0,$-59.96,-61.0,$-64.56,$0.00,0.0
NLCP,0.0,$0.00,$0.00,$-28.06,500.0,$-12.56,-500.0,$-12.50,$0.00,0.0
NLOP,0.0,$0.00,$0.00,$2053.31,0.0,$0.00,-159.0,$-12.79,$19.72,159.0
NLY,0.0,$0.00,$0.00,$36.45,250.0,$-19.97,-250.0,$-20.12,$0.00,0.0
NLYPRF,0.0,$0.00,$0.00,$25.96,200.0,$-24.60,-200.0,$-24.73,$0.00,0.0
NMIH,0.0,$0.00,$0.00,$49.97,100.0,$-28.50,-100.0,$-29.00,$0.00,0.0
NNN,0.0,$0.00,$0.00,$638.96,563.0,$-41.06,-563.0,$-40.24,$812.45,0.0
NOBL,0.0,$0.00,$0.00,$82.08,100.0,$-91.12,-100.0,$-91.94,$0.00,0.0
NOC,300.0,$36.32,$25.80,$10895.68,0.0,$0.00,-17.0,$-455.29,$1179.00,317.0
NPCT,0.0,$0.00,$0.00,$53.93,750.0,$-10.23,-750.0,$-10.30,$0.00,0.0
NRDBY,0.0,$0.00,$0.00,$77.79,100.0,$-10.63,-100.0,$-11.41,$0.00,0.0
NS,0.0,$0.00,$0.00,$459.97,200.0,$-15.60,-200.0,$-17.50,$80.00,0.0
NSPRB,0.0,$0.00,$0.00,$-2.15,10.0,$-23.48,-10.0,$-23.27,$0.00,0.0
NSPRC,0.0,$0.00,$0.00,$-2.91,10.0,$-25.51,-10.0,$-25.22,$0.00,0.0
NTB,0.0,$0.00,$0.00,$59.33,0.0,$0.00,0.0,$0.00,$0.00,0.0
NTES,0.0,$0.00,$0.00,$170.29,100.0,$-89.58,-100.0,$-91.28,$0.00,0.0
NTST,0.0,$0.00,$0.00,$84.07,200.0,$-17.68,-200.0,$-18.10,$0.00,0.0
NVDA,0.0,$0.00,$0.00,$1886.43,200.0,$-130.79,-200.0,$-128.00,$0.00,0.0
NVS,0.0,$0.00,$0.00,$670.01,200.0,$-103.79,-200.0,$-100.00,$633.32,0.0
NXST,0.0,$0.00,$0.00,$7.27,2.0,$-169.91,-2.0,$-173.55,$0.00,0.0
NYCB,0.0,$0.00,$0.00,$12292.79,250.0,$-9.10,-250.0,$-9.42,$0.00,0.0
NYMT,0.0,$0.00,$0.00,$8.49,50.0,$-9.98,-50.0,$-10.15,$0.00,0.0
